FSi,Fluorosilylidyne,,,7.1,,,-24.3,,,225.8
FTl,Thallium(I) fluoride,-324.7,,-182.4,,,,,,
F2,Fluorine,,,0.0,,,,,,202.8
F2Fe,Iron(II) fluoride,-711.3,,,-668.6,,,87.0,,
F2HK,Potassium hydrogen fluoride,-927.7,,,-859.7,,,104.3,,
F2HN,Difluoramine,,,,,,,,,252.8
F2HNa,Sodium hydrogen fluoride,-920.3,,,-852.2,,,90.9,,
F2Mg,Magnesium fluoride,-1124.2,,,-1071.1,,,57.2,,
F2N,Difluoroamidogen,,,43.1,,,57.8,,,249.9
F2N2,cis-Difluorodiazine,,,69.5,,,,,,
F2N2,trans-Difluorodiazine,,,82.0,,,,,,
F2Ni,Nickel(II) fluoride,-651.4,,,-604.1,,,73.6,,
F2O,Fluorine monoxide,,,24.7,,,41.9,,,247.4
F2OS,Thionyl fluoride,,,,,,,,,278.7
F2O2,Fluorine dioxide,,,18.0,,,,,,
F2O2S,Sulfuryl fluoride,,,,,,,,,284.0
F2O2U,Uranyl fluoride,-1653.5,,,-1557.4,,,135.6,,
F2Pb,Lead(II) fluoride,-664.0,,,-617.1,,,110.5,,
F2Si,Difluorosilylene,,,-619.0,,,-628.0,,,252.7
F2Sr,Strontium fluoride,-1216.3,,,-1164.8,,,82.1,,
F2Zn,Zinc fluoride,-764.4,,,-713.3,,,73.7,,
F3Ga,Gallium(III) fluoride,-1163.0,,,-1085.3,,,84.0,,
F3Gd,Gadolinium(III) fluoride,,,-1297.0,,,,,,
F3HSi,Trifluorosilane,,,,,,,,,271.9
F3Ho,Holmium fluoride,-1707.0,,,,,,,,
F3N,Nitrogen trifluoride,,,-132.1,,,-90.6,,,260.8
F3Nd,Neodymium fluoride,-1657.0,,,,,,,,
F3OP,Phosphorus(V) oxyfluoride,,,-1254.3,,,-1205.8,,,285.4
F3P,Phosphorus(III) fluoride,,,-958.4,,,-936.9,,,273.1
F3Sb,Antimony(III) fluoride,-915.5,,,,,,,,
F3Sc,Scandium fluoride,-1629.2,,-1247.0,-1555.6,,-1234.0,92.0,,300.5
F3Sm,Samarium(III) fluoride,-1778.0,,,,,,,,
F3Th,Thorium(III) fluoride,,,-1166.1,,,-1160.6,,,339.2
F3U,Uranium(III) fluoride,-1502.1,,-1058.5,-1433.4,,-1051.9,123.4,,331.9
F3Y,Yttrium fluoride,-1718.8,,-1288.7,-1644.7,,-1277.8,100.0,,311.8
F4Ge,Germanium(IV) fluoride,,,-1190.2,,,-1150.0,,,301.9
F4Hf,Hafnium fluoride,-1930.5,,-1669.8,-1830.4,,,113.0,,
F4N2,Tetrafluorohydrazine,,,-8.4,,,79.9,,,301.2
F4Pb,Lead(IV) fluoride,-941.8,,,,,,,,
F4S,Sulfur tetrafluoride,,,-763.2,,,-722.0,,,299.6
F4Si,Tetrafluorosilane,,,-1615.0,,,-1572.8,,,282.8
F4Th,Thorium(IV) fluoride,-2097.8,,-1759.0,-2003.4,,-1724.0,142.0,,341.7
F4U,Uranium(IV) fluoride,-1914.2,,-1598.7,-1823.3,,-1572.7,151.7,,368.0
F4V,Vanadium(IV) fluoride,-1403.3,,,,,,,,
F4Xe,Xenon tetrafluoride,-261.5,,,,,,,,
F4Zr,Zirconium(IV) fluoride,-1911.3,,,-1809.9,,,104.6,,
F5I,Iodine pentafluoride,,-864.8,-822.5,,,-751.7,,,327.7
F5Nb,Niobium(V) fluoride,-1813.8,,-1739.7,-1699.0,,-1673.6,160.2,,321.9
F5P,Phosphorus(V) fluoride,,,-1594.4,,,-1520.7,,,300.8
F5Ta,Tantalum(V) fluoride,-1903.6,,,,,,,,
F5V,Vanadium(V) fluoride,,-1480.3,-1433.9,,-1373.1,-1369.8,,175.7,320.9
F6Ir,Iridium(VI) fluoride,-579.7,,-544.0,-461.6,,-460.0,247.7,,357.8
